code,name,manager,share_class,product_type,direct_sales,channel,status,status_note,source_url,purchase_limit_rmb,quota_scope,regular_investment,effective_date,source_mode,status_verified_at
016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,嘉实基金,C,OTC,true,manager_direct,暂停申购,基金管理人当前额度表显示暂停申购和定投,https://www.jsfund.cn/main/a/20151216/191092.shtml,,per_share,暂停,2026-02-03,official_direct,2026-08-12（北京时间）
018043,天弘纳斯达克100指数发起(QDII)A,天弘基金,A,OTC,true,manager_direct,暂停申购,天弘基金2026-05-29公告（监管披露原件）：A类自2026-06-01起暂停申购及定期定额投资，赎回正常,https://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=1497147,,per_share,暂停,2026-06-01,official_notice,2026-08-16（北京时间）
018044,天弘纳斯达克100指数发起(QDII)C,天弘基金,C,OTC,true,manager_direct,暂停申购,天弘基金2026-05-29公告（监管披露原件）：C类自2026-06-01起暂停申购及定期定额投资，赎回正常,https://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=1497147,,per_share,暂停,2026-06-01,official_notice,2026-08-16（北京时间）
018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,汇添富基金,A,OTC,true,manager_direct,限制申购,汇添富基金2026-07-17官方公告：人民币A类单日单账户申购及定投限额10元，其他业务照常办理,https://www.99fund.com/announcement/zx/upload/2026/20260716/ecd854ee54854a1f8841b03de46ef33e.pdf,10,per_share,同额度,2026-07-17,official_notice,2026-08-16（北京时间）
018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,汇添富基金,C,OTC,true,manager_direct,限制申购,汇添富基金2026-07-17官方公告：人民币C类单日单账户申购及定投限额10元，其他业务照常办理,https://www.99fund.com/announcement/zx/upload/2026/20260716/ecd854ee54854a1f8841b03de46ef33e.pdf,10,per_share,同额度,2026-07-17,official_notice,2026-08-16（北京时间）
019172,摩根纳斯达克100指数(QDII)人民币A,摩根基金,A,OTC,true,manager_direct,限制申购,2026-07-10摩根基金官方直销公告：人民币A类申购/定投/转换转入单日限额300元，适用于直销柜台、网上交易、摩根资产管理APP及微信公众号,https://www.cifm.com/fund/019172/announce/202607/P020260709541510891782.pdf,300,per_share,同额度,2026-07-10,official_notice,2026-08-16（北京时间）
019173,摩根纳斯达克100指数(QDII)人民币C,摩根基金,C,OTC,true,manager_direct,限制申购,2026-07-10摩根基金官方直销公告：人民币C类申购/定投/转换转入单日限额300元，适用于直销柜台、网上交易、摩根资产管理APP及微信公众号,https://www.cifm.com/fund/019172/announce/202607/P020260709541510891782.pdf,300,per_share,同额度,2026-07-10,official_notice,2026-08-16（北京时间）
019441,万家纳斯达克100指数发起式(QDII)A,万家基金,A,OTC,true,manager_direct,限制申购,A类单日单个基金账户限额10元；A类与C类分别计算,https://www.wjasset.com/upload/pdf/1783510633469-wjnsdk100zsxfqszqtzjj%28QDII%29dzdesg%28hdqdetz%29ywjexzdgg.pdf,10,per_share,同额度,2026-07-09,official_notice,2026-08-12（北京时间）
019442,万家纳斯达克100指数发起式(QDII)C,万家基金,C,OTC,true,manager_direct,限制申购,C类单日单个基金账户限额10元；A类与C类分别计算,https://www.wjasset.com/upload/pdf/1783510633469-wjnsdk100zsxfqszqtzjj%28QDII%29dzdesg%28hdqdetz%29ywjexzdgg.pdf,10,per_share,同额度,2026-07-09,official_notice,2026-08-12（北京时间）
019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,华泰柏瑞基金,A,OTC,true,manager_direct,限制申购,A类C类I类共享单日10元限额（指定披露报刊公告原文）,https://epaper.stcn.com/att/202604/23/ZQ23B444-MM_eBook.pdf,10,combined_aci,同额度,2026-04-23,official_notice_publication,2026-08-16（北京时间）
019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,华泰柏瑞基金,C,OTC,true,manager_direct,限制申购,A类C类I类共享单日10元限额（指定披露报刊公告原文）,https://epaper.stcn.com/att/202604/23/ZQ23B444-MM_eBook.pdf,10,combined_aci,同额度,2026-04-23,official_notice_publication,2026-08-16（北京时间）
019547,招商纳斯达克100ETF发起式联接(QDII)A,招商基金,A,OTC,true,manager_direct,限制申购,直销机构单日单个基金账户申购限额100元,https://static.cmfchina.com/web/noticedetails/225156/index.html,100,per_share,同额度,2026-07-27,official_notice,2026-08-12（北京时间）
019548,招商纳斯达克100ETF发起式联接(QDII)C,招商基金,C,OTC,true,manager_direct,限制申购,直销机构单日单个基金账户申购限额100元,https://static.cmfchina.com/web/noticedetails/225156/index.html,100,per_share,同额度,2026-07-27,official_notice,2026-08-12（北京时间）
019736,宝盈纳斯达克100指数发起(QDII)A人民币,宝盈基金,A,OTC,true,manager_direct,限制申购,2026-06-10宝盈基金官方公告：A类申购及定投单日限额10元，自2026-06-11生效，原100元限额已下调,https://www.byfunds.com/2026/wsnotice/20260609/fd9a9ea8875e4dfeb685c294a7f0349c.pdf,10,per_share,同额度,2026-06-11,official_notice,2026-08-16（北京时间）
019737,宝盈纳斯达克100指数发起(QDII)C人民币,宝盈基金,C,OTC,true,manager_direct,限制申购,2026-06-10宝盈基金官方公告：C类申购及定投单日限额10元，自2026-06-11生效，原100元限额已下调,https://www.byfunds.com/2026/wsnotice/20260609/fd9a9ea8875e4dfeb685c294a7f0349c.pdf,10,per_share,同额度,2026-06-11,official_notice,2026-08-16（北京时间）
021000,南方纳斯达克100指数发起(QDII)I,南方基金,I,OTC,true,manager_direct,限制申购,人民币I类单日单个基金账户申购定投及转换转入合计限额200元,https://www.nffund.com/main/files/2026/07/20/267420143677.pdf,200,per_share,同额度,2026-07-21,official_notice,2026-08-13（北京时间）
021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,汇添富基金,E,OTC,true,manager_direct,限制申购,汇添富基金2026-07-17官方公告：人民币E类单日单账户申购及定投限额10元，其他业务照常办理,https://www.99fund.com/announcement/zx/upload/2026/20260716/ecd854ee54854a1f8841b03de46ef33e.pdf,10,per_share,同额度,2026-07-17,official_notice,2026-08-16（北京时间）
021778,广发纳指100ETF联接(QDII)人民币F,广发基金,F,OTC,true,manager_direct,限制申购,人民币F类单日累计申购限额100元且多个销售渠道合并计算,https://www.gffunds.com.cn/jjgg/zdsj/202607/P020260710604506233151.pdf,100,cross_channel_per_share,同额度,2026-07-13,official_notice,2026-08-12（北京时间）
021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,嘉实基金,I,OTC,true,manager_direct,暂停申购,基金管理人当前额度表显示暂停申购和定投,https://www.jsfund.cn/main/a/20151216/191092.shtml,,per_share,暂停,2026-02-03,official_direct,2026-08-12（北京时间）
022525,天弘纳斯达克100指数发起(QDII)D,天弘基金,D,OTC,true,manager_direct,暂停申购,天弘基金2026-05-29公告（监管披露原件）：D类自2026-06-01起暂停申购及定期定额投资，赎回正常,https://eid.csrc.gov.cn/fund/disclose/instance_show_pdf_id.do?instanceid=1497147,,per_share,暂停,2026-06-01,official_notice,2026-08-16（北京时间）
022664,华泰柏瑞纳斯达克100ETF发起式联接(QDII)I,华泰柏瑞基金,I,OTC,true,manager_direct,限制申购,A类C类I类共享单日10元限额（指定披露报刊公告原文）,https://epaper.stcn.com/att/202604/23/ZQ23B444-MM_eBook.pdf,10,combined_aci,同额度,2026-04-23,official_notice_publication,2026-08-16（北京时间）
023422,建信纳斯达克100指数(QDII)D人民币,建信基金,D,OTC,true,manager_direct,限制申购,建信基金2026-02-26公告：人民币D类单日申购/定投限额100元；2026-08-12 A/C公告明确不适用D类,https://www.ccbfund.cn/resource/upload/notice/023422/202602261440/建信纳斯达克100指数型证券投资基金（QDII）基金暂停大额申购、定期定额投资公告.doc,100,per_share,同额度,2026-02-27,official_notice,2026-08-16（北京时间）
024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,博时基金,I,OTC,true,manager_direct,暂停申购,博时基金官方产品页于2026-08-16显示I类人民币份额“暂停申购”；未发现恢复申购页面,https://www.bosera.com/fund/024237.html,,per_share,暂停,2026-08-16核验,official_direct_html,2026-08-16（北京时间）
040046,华安纳斯达克100ETF联接(QDII)A,华安基金,A,OTC,true,manager_direct,限制申购,基金管理人页面显示直销限额100元而代销限额10元,https://www.huaan.com.cn/funds/040046/index.shtml,100,per_share,同额度,2026-08-16核验,official_direct,2026-08-16（北京时间）
160213,国泰纳斯达克100指数,国泰基金,A,OTC,true,manager_direct,暂停申购,国泰基金2026-05-29官方公告：自2026-06-01起暂停申购及定期定额投资，赎回正常,https://st.gtfund.com/report/2026/05/%E5%9B%BD%E6%B3%B0%E7%BA%B3%E6%96%AF%E8%BE%BE%E5%85%8B100%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%E6%9A%82%E5%81%9C%E7%94%B3%E8%B4%AD%E3%80%81%E5%AE%9A%E6%9C%9F%E5%AE%9A%E9%A2%9D%E6%8A%95%E8%B5%84%E4%B8%9A%E5%8A%A1%E7%9A%84%E5%85%AC%E5%91%8A.pdf,,per_share,暂停,2026-06-01,official_notice,2026-08-16（北京时间）
161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),易方达基金,A,OTC,true,manager_direct,暂停申购,基金管理人网上直销页面显示停止申购,https://e.efunds.com.cn/cart/subscriptions?form=&fundCode=161130,,per_share,暂停,2026-08-12核验,official_direct,2026-08-12（北京时间）
270042,广发纳斯达克100ETF联接人民币(QDII)A,广发基金,A,OTC,true,manager_direct,限制申购,广发基金官方直销额度API于2026-08-16返回：个人及机构单日上限5元、起购1元；以当前直销页面/API为准,https://www.gffunds.com.cn/api/v1/funds/fund-person-limit.shtml?fundcode=270042,5,per_share,同额度,2026-08-16核验,official_direct,2026-08-16（北京时间）
539001,建信纳斯达克100指数(QDII)A人民币,建信基金,A,OTC,true,manager_direct,限制申购,建信基金2026-08-12直销公告：人民币A类单日单个基金账户申购/定投限额10000元,https://www.ccbfund.cn/resource/upload/notice/539001/202608120902/建信纳斯达克100指数型证券投资基金（QDII）在直销渠道暂停大额申购、定期定额投资公告.doc,10000,per_share,同额度,2026-08-13,official_notice,2026-08-16（北京时间）
